trajectory,inter energy,intra energy,dissociation time
1,18.077,201.499,2.869999936
2,15.919,203.714,0.839999981
3,28.585,191.2,0.789999982
4,24.877,194.642,2.539999943
5,12.201,207.588,1.999999955
6,23.718,195.578,0.829999981
7,17.195,202.409,6.489999855
8,13.41,205.924,1.099999975
9,19.2,200.061,2.359999947
10,18.919,200.835,1.089999976
11,9.355,210.452,1.80999996
12,13.156,206.262,1.909999957
13,20.05,199.525,1.089999976
14,21.057,198.666,1.34999997
15,17.773,201.772,0.719999984
16,25.122,194.68,0.90999998
17,15.467,204.079,1.369999969
18,20.786,198.582,1.049999977
19,10.375,208.994,3.049999932
20,14.869,204.846,2.939999934
21,16.486,202.89,1.009999977
22,20.847,198.609,0.919999979
23,16.944,202.876,1.629999964
24,16.323,203.169,0.919999979
25,9.711,210.065,6.239999861
26,21.498,198.033,2.839999936
27,19.897,199.742,1.129999975
28,12.847,206.43,1.639999963
29,20.059,199.275,0.999999978
30,19.983,199.502,1.259999972
31,8.601,211.192,3.859999914
32,11.875,207.503,3.859999914
33,24.316,195.186,1.739999961
34,14.462,204.933,10.33999977
35,26.156,193.406,2.089999953
36,17.611,201.738,1.35999997
37,13.326,206.277,6.649999851
38,13.508,205.97,2.169999951
39,13.017,206.644,2.359999947
40,14.74,204.588,1.169999974
41,5.23,214.254,12.56999972
42,20.368,199.125,1.34999997
43,14.643,204.733,1.32999997
44,8.577,211.135,3.909999913
45,28.46,191.164,0.669999985
46,17.603,201.826,1.869999958
47,31.036,188.514,1.609999964
48,20.988,198.705,0.959999978
49,10.317,208.948,5.599999875
50,17.993,201.597,1.169999974
51,15.622,204.159,3.389999924
52,17.391,202.237,0.669999985
53,26.783,192.716,1.519999966
54,11.545,208.069,1.379999969
55,14.172,205.527,1.33999997
56,7.029,212.368,5.069999887
57,21.759,197.554,0.789999982
58,24.164,195.225,0.829999981
59,12.123,207.618,2.469999945
60,19.863,199.531,1.77999996
61,16.152,203.582,1.199999973
62,13.727,205.993,2.869999936
63,18.206,201.594,2.299999949
64,8.974,210.79,2.019999955
65,11.45,208.297,6.25999986
66,14.696,204.621,1.77999996
67,15,204.528,0.949999979
68,10.382,209.44,2.439999945
69,22.335,197.095,1.039999977
70,15.434,203.877,2.369999947
71,14.956,204.491,0.979999978
72,12.743,206.877,10.49999977
73,16.286,203.161,0.729999984
74,17.778,201.859,4.079999909
75,11.847,207.848,1.119999975
76,14.33,205.481,1.259999972
77,27.454,192.369,0.939999979
78,15.096,204.713,3.199999929
79,21.873,197.71,1.039999977
80,19.724,200.078,1.269999972
81,19.528,200.249,0.979999978
82,29.825,189.573,1.129999975
83,15.705,203.821,1.079999976
84,17.204,202.203,6.859999847
85,26.117,193.247,0.979999978
86,16.961,202.668,1.519999966
87,20.421,199.195,1.259999972
88,21.471,197.988,0.869999981
89,5.324,214.255,2.489999944
90,18.677,200.655,1.219999973
91,18.456,201.332,1.32999997
92,15.524,204.181,27.28999939
93,11.526,207.781,1.34999997
94,21.806,197.73,1.609999964
95,8.489,211.181,1.649999963
96,31.435,188.087,1.129999975
97,15.017,204.474,2.299999949
98,4.032,215.713,6.459999856
99,14.957,204.665,1.149999974
100,18.086,201.38,1.059999976
101,31.755,187.815,1.209999973
102,15.272,204.34,0.90999998
103,13.971,205.592,1.659999963
104,13.681,206.058,1.559999965
105,26.291,193.375,1.139999975
106,23.833,195.78,1.309999971
107,10.084,209.39,1.039999977
108,15.593,203.711,4.299999904
109,28.045,191.549,0.939999979
110,8.523,211.275,4.569999898
111,34.863,184.424,0.599999987
112,6.591,212.849,1.519999966
113,10.632,209.007,12.66999972
114,14.259,205.363,1.519999966
115,16.558,202.909,1.32999997
116,19.432,200.217,1.579999965
117,16.934,202.613,1.539999966
118,6.318,213.479,6.27999986
119,19.493,200.078,0.939999979
120,20.028,199.643,6.529999854
121,19.102,200.639,1.35999997
122,12.936,206.402,6.989999844
123,14.073,205.278,0.959999978
124,17.273,202.305,1.279999971
125,13.774,206.017,2.68999994
126,10.057,209.643,2.25999995
127,23.706,195.776,1.289999971
128,24.918,194.788,1.709999962
129,11.971,207.374,1.509999966
130,14.726,204.951,0.959999978
131,13.896,205.746,2.369999947
132,21.969,197.496,0.88999998
133,18.166,201.215,1.149999974
134,21.858,197.442,1.499999966
135,17.169,202.196,4.409999901
136,26.699,192.84,0.729999984
137,13.515,206.055,4.90999989
138,27.773,191.631,0.689999985
139,23.431,195.946,0.929999979
140,12.48,206.987,0.949999979
141,24.972,194.281,0.839999981
142,16.815,202.542,0.89999998
143,19.57,200.021,0.979999978
144,24.618,195.004,0.809999982
145,7.174,212.295,1.309999971
146,34.722,184.604,1.059999976
147,25.331,194.143,0.829999981
148,13.072,206.2,12.08999973
149,18.724,200.733,1.209999973
150,23.467,195.883,0.849999981
151,14.601,204.826,4.549999898
152,20.87,198.492,1.149999974
153,21.06,198.57,1.069999976
154,11.929,207.52,0.869999981
155,25.681,194.02,1.279999971
156,10.241,209.022,5.429999879
157,26.686,192.839,1.33999997
158,18.43,201.178,2.829999937
159,25.52,193.981,1.599999964
160,21.856,197.631,1.059999976
161,19.193,200.444,1.209999973
162,19.076,200.302,1.019999977
163,14.834,204.521,1.689999962
164,21.6,197.725,1.069999976
165,19.117,200.669,0.769999983
166,10.328,209.409,5.009999888
167,11.253,208.211,2.649999941
168,30.873,188.935,0.959999978
169,7.622,212.046,1.33999997
170,18.048,201.602,1.249999972
171,9.24,210.513,1.829999959
172,11.673,207.78,1.069999976
173,18.955,200.693,0.809999982
174,17.872,201.855,2.66999994
175,14.307,205.093,0.779999983
176,12.439,207.048,4.04999991
177,25.007,194.307,1.469999967
178,22.961,196.863,1.299999971
179,12.777,206.729,2.159999952
180,14.005,205.532,1.259999972
181,38.381,181.402,0.619999986
182,23.241,196.506,0.789999982
183,4.495,215.314,3.14999993
184,14.8,204.863,0.989999978
185,14.959,204.557,1.159999974
186,19.025,200.64,2.209999951
187,20.716,199.015,2.319999948
188,17.541,201.954,1.749999961
189,14.777,204.625,1.749999961
190,19.075,200.458,3.56999992
191,25.039,194.424,1.169999974
192,32.209,187.205,0.999999978
193,24.671,194.902,0.819999982
194,16.184,203.07,6.039999865
195,25.733,193.621,1.009999977
196,8.202,211.56,2.109999953
197,16.87,202.547,3.209999928
198,12.563,207.253,13.06999971
199,12.794,206.808,1.369999969
200,20.579,199.032,2.149999952
201,21.313,198.199,1.019999977
202,24.634,194.938,0.969999978
203,7.654,212.063,1.609999964
204,16.405,203.379,1.279999971
205,28.921,190.752,0.939999979
206,17.725,201.882,0.989999978
207,16.671,202.878,1.149999974
208,27.601,191.886,1.069999976
209,24.003,195.781,0.789999982
210,23.269,196.048,10.33999977
211,14.831,204.626,1.849999959
212,20.588,198.841,1.099999975
213,12.073,207.75,1.489999967
214,33.84,185.887,0.749999983
215,7.869,211.877,8.259999815
216,12.538,207.238,2.619999941
217,18.423,201.223,0.779999983
218,17.018,202.675,2.549999943
219,15.453,204.158,0.859999981
220,13.376,205.961,1.119999975
221,9.599,210.075,7.279999837
222,16.53,202.822,0.919999979
223,12.391,206.94,1.059999976
224,23.348,196.368,1.859999958
225,11.439,207.913,4.369999902
226,10.764,208.927,7.419999834
227,9.112,210.663,1.249999972
228,22.784,196.58,2.429999946
229,16.806,202.963,13.3299997
230,11.238,208.219,1.369999969
231,18.831,200.635,1.489999967
232,25.836,193.947,1.029999977
233,10.353,209.465,3.189999929
234,17.113,202.457,1.059999976
235,24.702,195.051,0.809999982
236,17.836,201.658,1.119999975
237,20.996,198.533,2.329999948
238,26.931,192.75,1.179999974
239,9.023,210.59,2.459999945
240,7.558,211.978,4.399999902
241,15.976,203.525,1.569999965
242,21.351,197.945,0.88999998
243,15.712,203.77,7.639999829
244,12.279,207.279,1.419999968
245,16.409,203.114,0.999999978
246,31.061,188.562,0.919999979
247,19.658,199.79,1.159999974
248,21.486,198.067,0.90999998
249,16.615,203.045,3.949999912
250,26.757,192.844,1.269999972
251,10.039,209.221,5.249999883
252,18.813,200.503,0.919999979
253,5.328,214.192,2.959999934
254,13.487,205.964,2.759999938
255,22.922,196.351,1.089999976
256,17.425,201.83,1.019999977
257,11.291,207.994,4.099999908
258,19.29,200.216,2.939999934
259,15.791,204.015,1.929999957
260,16.943,202.802,10.17999977
261,20.297,199.469,1.289999971
262,10.896,208.417,3.399999924
263,16.662,202.614,1.139999975
264,21.033,198.765,1.999999955
265,16.224,203.173,2.519999944
266,10.746,208.795,1.529999966
267,36.391,183.223,1.029999977
268,26.625,192.868,0.689999985
269,8.378,211.386,5.209999884
270,14.728,204.718,1.239999972
271,19.79,199.474,1.509999966
272,20.606,199.148,0.789999982
273,21.456,198.221,1.029999977
274,18.557,201.208,1.099999975
275,28.48,191.258,1.029999977
276,14.42,205.286,1.519999966
277,18.758,200.539,1.459999967
278,22.316,197.504,1.229999972
279,12.885,206.433,3.229999928
280,10.247,209.335,1.319999971
281,11.776,207.738,1.179999974
282,14.674,204.963,0.839999981
283,27.115,192.576,1.599999964
284,12.904,206.548,2.159999952
285,16.506,203.139,13.83999969
286,11.9,207.571,1.469999967
287,35.332,184.148,0.789999982
288,11.178,208.618,0.87999998
289,13.054,206.578,2.629999941
290,21.104,198.164,1.739999961
291,10.358,209.066,2.429999946
292,9.573,210.204,5.459999878
293,12.087,207.448,1.989999956
294,16.953,202.853,2.819999937
295,24.622,194.878,0.809999982
296,16.081,203.405,5.129999885
297,28.271,191.145,0.729999984
298,27.496,191.818,0.829999981
299,20.684,198.753,0.939999979
300,39.502,180.237,0.709999984
301,15.402,203.967,1.419999968
302,11.574,207.866,0.979999978
303,16.626,202.65,0.999999978
304,26.941,192.677,1.169999974
305,18.646,200.821,1.759999961
306,15.276,204.208,1.409999969
307,27.79,191.835,0.859999981
308,9.864,209.691,1.439999968
309,15.065,204.656,1.219999973
310,15.574,203.741,5.779999871
311,26.596,192.741,0.869999981
312,12.362,207.419,1.509999966
313,19.297,200.296,0.959999978
314,10.479,209.259,1.129999975
315,19.432,200.187,5.259999882
316,6.769,212.735,20.25999955
317,10.229,209.512,6.299999859
318,27.638,192.12,1.129999975
319,18.662,201.122,1.969999956
320,18.646,201.016,1.499999966
321,30.342,189.473,0.869999981
322,23.905,195.743,0.87999998
323,17.092,202.18,1.249999972
324,20.759,198.968,0.859999981
325,8.424,210.984,15.12999966
326,20.942,198.82,0.859999981
327,13.249,206.102,3.839999914
328,29.16,190.114,0.999999978
329,12.432,207.227,24.39999945
330,16.416,203.12,1.409999969
331,26.6,193.159,9.599999785
332,16.675,202.912,1.419999968
333,15.221,204.185,1.419999968
334,32.204,187.512,0.719999984
335,20.093,199.191,0.779999983
336,25.239,194.351,1.239999972
337,21.055,198.626,0.829999981
338,15.095,204.273,2.24999995
339,23.02,196.719,1.449999968
340,12.954,206.714,0.979999978
341,14.096,205.276,0.749999983
342,24.56,195.177,1.319999971
343,12.368,207.166,3.779999915
344,13.317,206.213,2.289999949
345,9.79,210.012,2.209999951
346,10.298,209.033,1.409999969
347,19.287,200.382,1.089999976
348,12.931,206.364,1.549999965
349,16.376,203.269,2.539999943
350,12.956,206.808,0.949999979
351,15.157,204.423,0.949999979
352,20.576,199.21,0.699999984
